number of clients,mean number of rejected,min number of rejected,max number of rejected,mean execution time,min execution time,max execution time,mean cpu usage ldf,min cpu usage ldf,max cpu usage ldf,mean cpu usage nginx,min cpu usage nginx,max cpu usage nginx,mean bandwidth ldf,min bandwidth ldf,max bandwidth ldf,mean bandwidth total,min bandwidth total,max bandwidth total,mean number of requests,min number of requests,max number of requests
5,0,0,2.847883415,2.847883415,2.847883415,42.93125,0,0,0,0,0,0,0,0,0,0.585749,0.585749,0.585749,5,5,5
10,5,5,0.771262121,0.771262121,0.771262121,81.2375,81.1625,81.1625,81.1625,0.05625,0.05625,0.05625,0.0340366,0.0340366,0.0340366,0.266368,0.266368,0.266368,10,10,10
15,14,14,50.14293694,50.14293694,50.14293694,81.25625,81.24375,81.24375,81.24375,0.05625,0.05625,0.05625,0.10211,0.10211,0.10211,0.10211,0.10211,0.10211,15,15,15
20,16,16,39.72256559,39.72256559,39.72256559,81.23125,79.9625,79.9625,79.9625,0.05625,0.05625,0.05625,0.131359,0.131359,0.131359,0.131897,0.131897,0.131897,20,20,20
25,25,25,nan,nan,nan,81.15,81.19375,81.19375,81.19375,0.05625,0.05625,0.05625,0,0,0,0.210179,0.210179,0.210179,3,3,3
30,30,30,nan,nan,nan,81.44375,81.19375,81.19375,81.19375,0.05625,0.05625,0.05625,0,0,0,0.519543,0.519543,0.519543,1,1,1
35,27,27,201.7874606,201.7874606,201.7874606,81.2,80.75,80.75,80.75,0.05625,0.05625,0.05625,0,0,0,0,0,0,15,15,15
40,40,40,nan,nan,nan,77.54375,81.15625,81.15625,81.15625,0.05625,0.05625,0.05625,0,0,0,0,0,0,0,0,0
45,42,42,74.22747127,74.22747127,74.22747127,79.125,80.74375,80.74375,80.74375,0.05625,0.05625,0.05625,0,0,0,0,0,0,0,0,0
50,43,43,479.501117,479.501117,479.501117,79.06875,81.09375,81.09375,81.09375,0.05625,0.05625,0.05625,0.00503349,0.00503349,0.00503349,0.00503349,0.00503349,0.00503349,29,29,29
55,51,51,442.4216872,442.4216872,442.4216872,78.38125,81.05,81.05,81.05,0.05625,0.05625,0.05625,0.00451279,0.00451279,0.00451279,0.00451279,0.00451279,0.00451279,33,33,33
60,60,60,nan,nan,nan,79.46875,80.375,80.375,80.375,0.05625,0.05625,0.05625,0.0104141,0.0104141,0.0104141,0.0104141,0.0104141,0.0104141,61,61,61
65,64,64,116.3017659,116.3017659,116.3017659,78.39375,81.075,81.075,81.075,0.05625,0.05625,0.05625,0.0111084,0.0111084,0.0111084,0.0111084,0.0111084,0.0111084,88,88,88
70,70,70,nan,nan,nan,80.85625,81.08125,81.08125,81.08125,0.1125,0.1125,0.1125,0.00138855,0.00138855,0.00138855,0.00138855,0.00138855,0.00138855,8,8,8
75,75,75,nan,nan,nan,80.8875,81.10625,81.10625,81.10625,0.10625,0.10625,0.10625,0.0126705,0.0126705,0.0126705,0.0126705,0.0126705,0.0126705,73,73,73
80,80,80,nan,nan,nan,81.2,81.14375,81.14375,81.14375,0.05625,0.05625,0.05625,0.0135384,0.0135384,0.0135384,0.0135384,0.0135384,0.0135384,81,81,81
85,85,85,nan,nan,nan,81.225,81.10625,81.10625,81.10625,0.05625,0.05625,0.05625,0.00659561,0.00659561,0.00659561,0.00659561,0.00659561,0.00659561,38,38,38
90,90,90,nan,nan,nan,79.08125,80.03125,80.03125,80.03125,0.1125,0.1125,0.1125,0.0156212,0.0156212,0.0156212,0.0156212,0.0156212,0.0156212,90,90,90
95,95,95,nan,nan,nan,0,81.18125,81.18125,81.18125,0.05625,0.05625,0.05625,0.0163155,0.0163155,0.0163155,0.0163155,0.0163155,0.0163155,98,98,98
100,100,100,nan,nan,nan,81.2125,80.9875,80.9875,80.9875,0.1125,0.1125,0.1125,0.0171833,0.0171833,0.0171833,0.0171833,0.0171833,0.0171833,114,114,114